FECHA;TMIN;TMAX;PREC
1/1/2025;12.3;31.0;0.0
2/1/2025;13.6;28.9;0.0
3/1/2025;12.3;31.9;0.0
4/1/2025;13.3;33.9;10.5
5/1/2025;16.2;32.1;0.0
6/1/2025;19.7;31.7;0.0
7/1/2025;20.9;34.2;0.0
8/1/2025;21.2;35.0;0.0
9/1/2025;18.1;34.0;26.3
10/1/2025;17.0;26.8;0.0
11/1/2025;14.3;32.3;0.0
12/1/2025;19.5;34.4;0.0
13/1/2025;21.6;37.2;0.0
14/1/2025;17.8;35.8;0
15/1/2025;17.8;39;14
16/1/2025;20.3;31.8;0.0
17/1/2025;12.6;30.5;0.0
18/1/2025;17.2;30.9;0.0
19/1/2025;14.9;32.2;0.0
20/1/2025;13.6;32.3;0
21/1/2025;16.8;35.8;0
22/1/2025;10.7;36.7;0
23/1/2025;20.6;37;0.3
24/1/2025;14.1;32;0
25/1/2025;14.8;36.3;0
26/1/2025;19.3;36.1;33.5
27/1/2025;19.3;32.1;0.3
28/1/2025;11.9;32.4;0
29/1/2025;17.6;34.1;0
30/1/2025;18.9;34.6;0
31/1/2025;20.7;35.7;3.3
1/2/2025;17.3;33.3;0.0
2/2/2025;20.4;36.6;0.0
3/2/2025;15.9;33.6;0.0
4/2/2025;13.3;33.3;0.0
5/2/2025;14.5;25.8;30.8
6/2/2025;15.6;33.6;0.0
7/2/2025;18.9;35.4;0.0
8/2/2025;21.4;32.5;0.0
9/2/2025;10.4;33.6;0.0
10/2/2025;22.5;35.3;0
11/2/2025;11.3;28.7;0
12/2/2025;9.3;30.6;0
13/2/2025;13;33.8;1.5
14/2/2025;17.3;27.3;1.3
15/2/2025;12.5;31.2;0.0
16/2/2025;17.2;31.3;0.0
17/2/2025;10.8;26;0.0
18/2/2025;4.4;28.2;0.0
19/2/2025;13.6;36.1;0
20/2/2025;20.4;35;0
21/2/2025;20.7;36.2;0
22/2/2025;22.7;38.9;19.5
23/2/2025;21;28;5.3
24/2/2025;20.6;32.1;0.3
25/2/2025;17.7;35;1
26/2/2025;16.5;25.7;0
27/2/2025;15.6;25.9;0
28/2/2025;18.7;26.5;47.3
1/3/2025;14.2;31.8;0
2/3/2025;17.7;23.3;0
3/3/2025;19;28.4;7.5
4/3/2025;18.8;26.9;20.3
5/3/2025;19.3;23.7;21.8
6/3/2025;19.4;26.1;2
7/3/2025;19.4;25;37.8
8/3/2025;11;21.6;0.0
9/3/2025;6.8;23.1;0.0
10/3/2025;11.5;29.5;0.0
11/3/2025;6.6;21.2;0.0
12/3/2025;3.9;22.9;0.0
13/3/2025;8.3;24.7;0.0
14/3/2025;9.4;24.3;0.0
15/3/2025;12.1;25.9;0.0
16/3/2025;14.1;29.2;0
17/3/2025;16.5;31.7;3
18/3/2025;14.6;26.6;0
19/3/2025;13.5;31.4;0
20/3/2025;19.4;34;0
21/3/2025;18.6;33;12
22/3/2025;15;22;5.3
23/3/2025;12.1;16;2
24/3/2025;12.2;19.6;0
25/3/2025;7.9;25.2;0
26/3/2025;13.7;19.4;24
27/3/2025;10.9;26.6;0.3
28/3/2025;15.3;26.9;0.3
29/3/2025;12.1;26.6;20.8
30/3/2025;14.2;21.3;24.5
31/3/2025;7.3;18.8;0.0
1/4/2025;5;20.1;0.0
2/4/2025;8.6;23.6;0.0
3/4/2025;5.5;15.6;0.0
4/4/2025;1.1;16.7;0
5/4/2025;5.5;19;0
6/4/2025;8.2;22.6;0.0
7/4/2025;11.3;23.8;0.0
8/4/2025;7.7;23.1;0.0
9/4/2025;11.8;24.4;0.0
10/4/2025;15.5;23;1
11/4/2025;13;20.9;17.5
12/4/2025;8.7;19.4;0
13/4/2025;6.6;21.1;0
14/4/2025;;;
15/4/2025;;;0
16/4/2025;8.4;18.5;2.3
17/4/2025;9.5;20;0
18/4/2025;5.7;16.8;0
19/4/2025;2;17.3;0
20/4/2025;3.2;17.8;0.3
21/4/2025;9.2;16.1;0
22/4/2025;8;19.6;0.3
23/4/2025;11.2;22.8;0
24/4/2025;7.1;24;0
25/4/2025;13.3;22.6;1.3
26/4/2025;3.9;17.8;0
27/4/2025;6.1;19.3;0
28/4/2025;1.9;23.6;0
29/4/2025;5.8;25;0
30/4/2025;8.9;23.9;0
1/5/2025;12.2;21.8;0
2/5/2025;6.4;21.7;0
3/5/2025;6.4;26.6;0
4/5/2025;9.3;20.2;0
5/5/2025;7.1;18.4;0
6/5/2025;12.7;17.2;0
7/5/2025;3.8;15.8;1.8
8/5/2025;7;19.9;0
9/5/2025;4.9;21.8;0
10/5/2025;4.2;22.9;0
11/5/2025;7.8;23.8;0.5
12/5/2025;11.7;23;0
13/5/2025;10.7;22.7;0
14/5/2025;6.9;24.9;0
15/5/2025;12.5;22.9;0.5
16/5/2025;5.8;23.3;0
17/5/2025;15;22.7;0
18/5/2025;2.6;15.1;0
19/5/2025;5;16.5;0
20/5/2025;-0.7;14.6;0
21/5/2025;3.1;14;0
22/5/2025;-1.3;13.7;0
23/5/2025;2.6;17.2;2.3
24/5/2025;8.3;20.3;0.3
25/5/2025;8.6;17.2;0.5
26/5/2025;12.2;15.2;2.8
27/5/2025;6.5;12.9;0
28/5/2025;-1.7;11;0
29/5/2025;-1.4;17.1;0
30/5/2025;3.7;16.4;0
31/5/2025;-0.6;13.8;0
1/6/2025;-4;17.8;0
2/6/2025;2.2;20;0
3/6/2025;6.9;17.6;0
4/6/2025;5.3;18.3;0
5/6/2025;-2.3;17.9;0
6/6/2025;-1.4;21.3;0
7/6/2025;2.5;18.8;0
8/6/2025;-0.9;16.5;0
9/6/2025;2.2;10.5;0
10/6/2025;4.5;8.1;0.3
11/6/2025;6.3;16;31
12/6/2025;6.2;14.4;10.8
13/6/2025;2.5;14.6;0
14/6/2025;-5;16.7;0
15/6/2025;-0.8;17.2;0
16/6/2025;2.7;15.2;0
17/6/2025;-3.7;16.3;0
18/6/2025;-0.9;15.2;0
19/6/2025;-1.7;19.2;0
20/6/2025;-2.6;17.3;0
21/6/2025;-1.3;15;0.8
22/6/2025;1.9;11.3;4.5
23/6/2025;0;8.3;1
24/6/2025;-4.1;17.7;0
25/6/2025;-1.2;10.9;0
26/6/2025;-3.5;15.4;0
27/6/2025;-4.9;8.6;0
28/6/2025;-2.9;5.7;0
29/6/2025;-4.5;6.5;0
30/6/2025;-6.4;6.9;0
1/7/2025;-8.2;10.1;0
2/7/2025;-2.6;13.1;0.8
3/7/2025;1.7;14.7;0
4/7/2025;0.4;13.9;0
5/7/2025;-0.8;12.6;3
6/7/2025;5.5;8.6;10
7/7/2025;5.2;14.3;0.3
8/7/2025;5;10;0
9/7/2025;8.3;11.2;4.8
10/7/2025;2.8;11.6;0.3
11/7/2025;-0.3;14.1;0
12/7/2025;3.8;11.8;0.3
13/7/2025;8.7;15;0
14/7/2025;6.5;17.2;0
15/7/2025;10.2;14;0
16/7/2025;1.5;12.3;0
17/7/2025;-2.1;17.5;0
18/7/2025;3.4;21.3;0
19/7/2025;1.4;19.1;0
20/7/2025;3.7;16.1;0
21/7/2025;4.2;14.4;0
22/7/2025;2.8;11.1;0
23/7/2025;-2.6;10.9;0.3
24/7/2025;6.2;12.3;0
25/7/2025;6;14.3;0
26/7/2025;-0.4;9.5;0
27/7/2025;3.4;8.7;0
28/7/2025;3.3;11.9;0
29/7/2025;6.9;15.6;0.8
30/7/2025;7.8;17.8;0.5
31/7/2025;9.4;16.4;0.3
1/8/2025;8;13;17.3
2/8/2025;6.7;16.8;0
3/8/2025;0.4;13.3;0
4/8/2025;1.3;11.1;0
5/8/2025;0.2;13.6;0.5
6/8/2025;6.9;16.4;0
7/8/2025;0.1;11.8;0
8/8/2025;-1.6;16.8;0
9/8/2025;0.4;18;0
10/8/2025;3.4;18.6;0
11/8/2025;2.3;22.7;0
12/8/2025;9;17.7;0
13/8/2025;3.1;12.3;0
14/8/2025;-4.1;13.4;0
15/8/2025;1.8;10.1;1.5
16/8/2025;5;13.3;0
17/8/2025;0.3;15.7;1
18/8/2025;9.2;15.4;1.3
19/8/2025;7.8;12.7;3
20/8/2025;8.4;18.7;0
21/8/2025;0.2;17.6;6.8
22/8/2025;4.7;13.4;0
23/8/2025;0.7;14.6;0
24/8/2025;0.8;21;0
25/8/2025;7.6;20.6;0
26/8/2025;2.8;24.8;0
27/8/2025;7.8;24.1;0
28/8/2025;9.7;22.4;0
29/8/2025;11.5;22.1;0
30/8/2025;7.7;17.3;0.5
31/8/2025;6.3;7.9;20.8
1/9/2025;4.4;16.7;0
2/9/2025;4.6;19.9;2
3/9/2025;4.1;13.8;0
