date,tmax,tmin,prec,source,jd,updated_at
2025-09-04,9.0,-4.0,0.0,forecast,247,2025-09-04 14:01:42.834074-03:00
2025-09-05,11.0,-4.0,0.0,forecast,248,2025-09-05 09:40:44.565291-03:00
2025-09-06,15.0,-2.0,0.0,forecast,249,2025-09-06 09:36:16.672518-03:00
2025-09-07,15.0,1.0,0.0,forecast,250,2025-09-07 09:37:00.065154-03:00
2025-09-08,19.0,2.0,0.0,forecast,251,2025-09-08 09:43:53.721530-03:00
2025-09-09,20.0,2.0,0.0,forecast,252,2025-09-08 09:43:53.721530-03:00
2025-09-10,22.0,6.0,0.5,forecast,253,2025-09-08 09:43:53.721530-03:00
2025-09-11,21.0,5.0,0.0,forecast,254,2025-09-08 09:43:53.721530-03:00
2025-09-12,22.0,5.0,0.0,forecast,255,2025-09-08 09:43:53.721530-03:00
2025-09-13,19.0,5.0,0.0,forecast,256,2025-09-08 09:43:53.721530-03:00
2025-09-14,19.0,7.0,0.0,forecast,257,2025-09-08 09:43:53.721530-03:00
2025-09-15,22.0,4.0,0.0,forecast,258,2025-09-08 09:43:53.721530-03:00
