date,tmax,tmin,prec,source,jd,updated_at
2025-09-04,9.0,-4.0,0.0,forecast,247,2025-09-04 14:01:42.834074-03:00
2025-09-05,11.0,-4.0,0.0,forecast,248,2025-09-05 09:40:44.565291-03:00
2025-09-06,15.0,-2.0,0.0,forecast,249,2025-09-06 09:36:16.672518-03:00
2025-09-07,15.0,1.0,0.0,forecast,250,2025-09-07 09:37:00.065154-03:00
2025-09-08,19.0,2.0,0.0,forecast,251,2025-09-08 09:43:53.721530-03:00
2025-09-09,20.0,2.0,0.0,forecast,252,2025-09-09 09:44:35.934155-03:00
2025-09-10,20.0,6.0,0.8,forecast,253,2025-09-10 09:41:30.600654-03:00
2025-09-11,20.0,3.0,0.0,forecast,254,2025-09-11 09:40:40.697228-03:00
2025-09-12,22.0,6.0,0.0,forecast,255,2025-09-12 09:39:59.589078-03:00
2025-09-13,20.0,7.0,0.0,forecast,256,2025-09-13 09:36:53.558920-03:00
2025-09-14,19.0,2.0,0.0,forecast,257,2025-09-14 09:36:27.284178-03:00
2025-09-15,22.0,4.0,0.0,forecast,258,2025-09-15 09:42:38.974569-03:00
2025-09-16,23.0,8.0,0.0,forecast,259,2025-09-16 09:42:13.307594-03:00
2025-09-17,23.0,11.0,0.1,forecast,260,2025-09-17 09:42:10.136670-03:00
2025-09-18,24.0,12.0,6.0,forecast,261,2025-09-18 09:41:26.665111-03:00
2025-09-19,20.0,12.0,15.3,forecast,262,2025-09-19 09:42:02.049117-03:00
2025-09-20,14.0,7.0,30.8,forecast,263,2025-09-20 09:38:22.650918-03:00
2025-09-21,14.0,5.0,3.6,forecast,264,2025-09-21 09:37:50.265212-03:00
2025-09-22,14.0,4.0,0.0,forecast,265,2025-09-22 09:42:58.141356-03:00
2025-09-23,14.0,3.0,0.0,forecast,266,2025-09-23 09:41:40.765026-03:00
2025-09-24,15.0,-1.0,0.0,forecast,267,2025-09-23 09:41:40.765026-03:00
2025-09-25,21.0,3.0,0.0,forecast,268,2025-09-23 09:41:40.765026-03:00
2025-09-26,15.0,7.0,14.9,forecast,269,2025-09-23 09:41:40.765026-03:00
2025-09-27,19.0,8.0,5.8,forecast,270,2025-09-23 09:41:40.765026-03:00
2025-09-28,23.0,5.0,0.0,forecast,271,2025-09-23 09:41:40.765026-03:00
2025-09-29,15.0,10.0,1.5,forecast,272,2025-09-23 09:41:40.765026-03:00
2025-09-30,21.0,6.0,0.6,forecast,273,2025-09-23 09:41:40.765026-03:00
